item_id,PLACES,THINGS_TO_DO,LOCATION,CITY,TRIP,LAKES,GLACIERS,CULTURAL FOOD
170,ALTIT MUSEUM,"LANDSCAPE , EVENTS, SHOPPING",ALTIT HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
171,AKYSB WOMEN ARTS MUSEUM,"CULTURE, ARCHITECTTURE,INFRASTRUCTURE ",ALTIT HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
172,HUNZA HANDICRAFT KARIMABAD,"CULTURE, EVENTS, SHOPPING",KARIMABAD HUNZA ,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
173,ALTIT MUSEUM,"LANDSCAPE , EVENTS, SHOPPING",ALTIT HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
174,KKH,"STAY AND DINE,BONFIRE",HUNZA ,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
175,ONDRA FORT,"INFRASTRUCTURE ,LANDSCAPE , EVENTS, SHOPPING",GULMIT HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
176,GANISH KHUN ,"INFRASTRUCTURE ,LANDSCAPE , EVENTS, SHOPPING",GANISH HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
177,PAK-CHINA TUNNEL,"BONFIRE,CAMPING,PICNIC POINT,TRACKING,HIKING",SHISKAT GOJAL HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
178,LEOPARD TRACK SHISHKAT,",BONFIRE,CAMPING,PICNIC POINT",SHISKAT GOJAL HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
179,HASANABAD LAKE,"SWIMMING,BOATING",HASSANABAD HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
180,GANISH KHUN ,"INFRASTRUCTURE ,LANDSCAPE , EVENTS, SHOPPING",GANISH HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
181,RAKAPOSHI GLACIER,"STAY AND DINEHIKING,SEE NATURE",HUNZA NAGAR,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
182,BORITH LAKE,"BOATING ,PICNIC POINT",GOJAL HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
183,ONDRA POYGAH,"CULTURE,PICNIC POINT",GOJAL HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
184,BORITH LAKE,"BOATING ,PICNIC POINT",GOJAL HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
185,DEATH BRIDGE,"CULTURE, ARCHITECTTURE,INFRASTRUCTURE ",GOJAL HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
186,HUSSANI SUSPENSION BRIDE ,"HISTORICAL THINGS, EVENTS, SHOPPING,PICNIC POINT",GOJAL HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
187,BORITH LAKE,"BOATING ,PICNIC POINT",GOJAL HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
188,ONDRA POYGAH,"CULTURE,PICNIC POINT",GOJAL HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
189,PASSU CONES,"LANDSCAPE , EVENTS, SHOPPING",PASSU GOJAL HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
190,PASSU GLACIER,"STAY AND DINE,BONFIRE,CAMPING,PICNIC POINT",HUNZA GOJAL,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
191,KHYBER BRIGDE,"CAMPING,PICNIC POINT,TRACKING,HIKING,SEE NATURE",HUNZA GOJAL,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
192,MINI SWITZERLAND,"CULTURE,INFRASTRUCTURE ,LANDSCAPE ",HUNZA GOJAL,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
193,BATURA LAKE,"SWIMMING,BOATING",GOJAL HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
194,KHABASI RESIDENCE,"CULTURE, ARCHITECTTURE,INFRASTRUCTURE ,LANDSCAPE , EVENTS, SHOPPING",ALTIT HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
195,SHISPARE GLACIER,TRACKING,HASSANABAD HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
196,MINI SWITZERLAND,"CULTURE,INFRASTRUCTURE ,LANDSCAPE ",HUNZA GOJAL,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
197,ULTAR GLACIER,"TRACKING,LANDSCAPE",KARIMABAD HUNZA ,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
198,KARIMABAD STREETS,"FOODS,CULTURAL HERITAGE", HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
199,MINI SWITZERLAND,"CULTURE,INFRASTRUCTURE ,LANDSCAPE ",HUNZA GOJAL,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
200,SCARED ROCKS OF HUNZA,"HIKING ,PICNIC POINT",GANISH HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
201,LADY FINGER VIEW POINT ,"TRACKING ,STAY AND DINE",MURTAZABAD HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
202,KACHELI LAKE,"SWIMMING,BOATING,PICNIC POINT",MINAPIN HUNZA NAGAR,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
203,SANGEMARMAR SAR,"PICNIC POINT,STAY AND DINE",HASSANABAD HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
204,ULTAR GLACIER,"TRACKING,MOUNTAINS VIEW",MINAPIN HUNZA NAGAR,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
205,RAKAPOSHI VIEW POINT,"LANDSCAPE ,RAKAPOSHI PEAK",GULMET NAGAR HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
206,"LADY FINGER,ULTAR GLACIER","TRACKING,LANDSCAPE,NATURE",HUNZA ,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
207,RAKAPOSHI VIEW POINT,"LANDSCAPE ,RAKAPOSHI PEAK",GULMET NAGAR HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
208,KACHELI LAKE,"SWIMMING,BOATING,PICNIC POINT",MINAPIN HUNZA NAGAR,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
209,RAKAPOSHI VIEW POINT,"LANDSCAPE ,RAKAPOSHI PEAK",GULMET NAGAR HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
210,KACHELI LAKE,"SWIMMING,BOATING,PICNIC POINT",MINAPIN HUNZA NAGAR,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
211,RAKAPOSHI VIEW POINT,"LANDSCAPE ,RAKAPOSHI PEAK",GULMET NAGAR HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
212,KACHELI LAKE,"SWIMMING,BOATING,PICNIC POINT",MINAPIN HUNZA NAGAR,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
213,RAKAPOSHI VIEW POINT,"LANDSCAPE ,RAKAPOSHI PEAK",GULMET NAGAR HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
214,KACHELI LAKE,"SWIMMING,BOATING,PICNIC POINT",MINAPIN HUNZA NAGAR,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
215,EAGLE NEST," ARCHITECTTURE,INFRASTRUCTURE ,LANDSCAPE ",DUIKAR HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
216,KARIMABAD POLO GROUND,"INFRASTRUCTURE ,LANDSCAPE SUNRISE AND SUNSET VIEW",KARIMABAD HUNZA ,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
217,PASSU GLACIER,"STAY AND DINE,BONFIRE,CAMPING,PICNIC POINT",HUNZA GOJAL,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
218,BORITH LAKE,"BOATING ,PICNIC POINT",GOJAL HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
219,ONDRA POYGAH,"CULTURE,PICNIC POINT",GOJAL HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
220,BORITH LAKE,"BOATING ,PICNIC POINT",GOJAL HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
221,DEATH BRIDGE,"CULTURE, ARCHITECTTURE,INFRASTRUCTURE ",GOJAL HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
222,HUSSANI SUSPENSION BRIDE ,"HISTORICAL THINGS, EVENTS, SHOPPING,PICNIC POINT",GOJAL HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
223,BORITH LAKE,"BOATING ,PICNIC POINT",GOJAL HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
224,ONDRA POYGAH,"CULTURE,PICNIC POINT",GOJAL HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
225,PASSU CONES,"LANDSCAPE , EVENTS, SHOPPING",PASSU GOJAL HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
226,PASSU GLACIER,"STAY AND DINE,BONFIRE,CAMPING,PICNIC POINT",PASSU GOJAL HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
227,KHYBER BRIGDE,"CAMPING,PICNIC POINT,TRACKING,HIKING,SEE NATURE",KHYBER GOJAL HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
228,MINI SWITZERLAND,"CULTURE,INFRASTRUCTURE ,LANDSCAPE ",GHALAPN GOJAL HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
229,BATURA LAKE,"SWIMMING,BOATING",GOJAL HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
230,DUIKAR ,"CULTURE, SUNRISE AND SUNSET VIEW",DUIKAR HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
231,BALTIT FORT,"POLO GROUND,HERITAGE",KARIMABAD HUNZA ,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
232,ULTAR GLACIER,TRACKING,KARIMABAD HUNZA ,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
